LocationID,StateName,Population
523,Alabama,4977688
524,Alaska,788027
525,Arizona,7249679
526,Arkansas,3057348
527,California,39872032
528,Colorado,5401063
529,Connecticut,3693747
530,Delaware,975095
531,District of Columbia,650224
532,Florida,21174892
533,Georgia,10668125
534,Hawaii,1487442
535,Idaho,1735118
536,Illinois,13042506
537,Indiana,6719600
538,Iowa,3130718
539,Kansas,2969705
540,Kentucky,4504876
541,Louisiana,4588275
542,Maine,1353538
543,Maryland,6142347
544,Massachusetts,6665095
545,Michigan,9712914
546,Minnesota,5565821
547,Mississippi,3003693
548,Missouri,6242956
549,Montana,1039607
550,Nebraska,1913991
551,Nevada,3215024
552,New Hampshire,1352739
553,New Jersey,9039888
554,New Mexico,2185561
555,New York,19790367
556,North Carolina,10591025
557,North Dakota,708249
558,Ohio,11578588
559,Oklahoma,3946851
560,Oregon,4030309
561,Pennsylvania,12994862
562,Rhode Island,1044171
563,South Carolina,5045227
564,South Dakota,864821
565,Tennessee,6726395
566,Texas,28418637
567,Utah,3147204
568,Vermont,627370
569,Virginia,8695417
570,Washington,7301577
571,West Virginia,1860311
572,Wisconsin,5877688
573,Wyoming,610299
